id,category_id,detail,lat,lng,place,region
KCLANPO22N000019209,CT1,호수/저수지,35.53686348,127.7133649,대병저수지  ,경상남도
KCLANPO22N000019210,CT1,호수/저수지,35.37467897,127.9972899,방동소류지  ,경상남도
KCLANPO22N000019211,CT1,호수/저수지,34.72345427,125.9185634,대두저수지  ,전라남도
KCLANPO22N000019212,CT1,호수/저수지,35.54641189,129.1351636,배밭골못  ,울산광역시
KCLANPO22N000019213,CT1,호수/저수지,37.94129522,127.339698,청계저수지  ,경기도
KCLANPO22N000019214,CT1,호수/저수지,35.15252714,128.2884904,답천저수지  ,경상남도
KCLANPO22N000019215,CT1,호수/저수지,33.29685354,126.6684944,닥은못  ,제주특별자치도
KCLANPO22N000019216,CT1,호수/저수지,37.748053,127.1647016,육림호  ,경기도
KCLANPO22N000019217,CT1,호수/저수지,34.69260214,126.2976873,후산저수지  ,전라남도
KCLANPO22N000019218,CT1,호수/저수지,35.04045267,128.4203615,숲담소류지  ,경상남도
KCLANPO22N000019219,CT1,호수/저수지,35.50843422,127.7128894,뱃골소류지  ,경상남도
KCLANPO22N000019220,CT1,호수/저수지,36.6101097,128.9299299,뱃티저수지  ,경상북도
KCLANPO22N000019221,CT1,호수/저수지,35.33526324,127.0574655,늑곡제1소류지  ,전라북도
KCLANPO22N000019222,CT1,호수/저수지,35.03328631,128.4615489,법동소류지  ,경상남도
KCLANPO22N000019223,CT1,호수/저수지,35.47562359,128.8478394,법흥소류지  ,경상남도
KCLANPO22N000019224,CT1,호수/저수지,35.47877002,127.790097,뒷골소류지  ,경상남도
KCLANPO22N000019225,CT1,호수/저수지,35.67563369,129.2949188,뒷골못  ,경상북도
KCLANPO22N000019226,CT1,호수/저수지,35.67271843,129.2104608,병천이못  ,울산광역시
KCLANPO22N000019227,CT1,호수/저수지,36.09339077,128.7268971,논안못  ,경상북도
KCLANPO22N000019228,CT1,호수/저수지,35.80684196,129.2159698,안골샘못  ,경상북도
