category,lat,lng,region,cluster_1
CT1,37.17519243,127.4753065,경기도,945
CT1,36.42083313,127.935537,경상북도,447
CT1,35.24357516,127.3084918,전라남도,254
CT1,35.63964569,129.2830315,울산광역시,139
CT1,36.1720027,129.3668697,경상북도,12
CT1,36.09417689,127.905801,충청북도,575
CT1,35.69675164,127.8957517,경상남도,133
CT1,34.95553413,126.2639812,전라남도,879
CT1,37.59410918,127.2218775,경기도,456
CT1,35.15307547,127.8837198,경상남도,700
CT1,37.20295064,127.7672382,강원도,518
CT1,34.95999449,128.4199862,경상남도,124
CT1,34.97778362,127.858673,경상남도,137
CT1,35.4325194,128.0271679,경상남도,982
CT1,36.28659377,128.1910771,경상북도,23
CT1,36.727099,126.9057505,충청남도,540
CT1,37.4702305,127.3253039,경기도,915
CT1,35.21500966,127.8652424,경상남도,333
CT1,35.48284069,129.1984907,울산광역시,818
CT1,35.00359453,127.9745495,경상남도,554
CT1,35.81863016,128.8410534,경상북도,824
CT1,36.09527302,127.4801487,충청남도,878
CT1,34.4341872,126.1205804,전라남도,327
CT1,35.02266683,128.4017816,경상남도,117
CT1,35.44701846,127.9245712,경상남도,610
CT1,36.2798634,128.2926249,경상북도,23
CT1,35.10858639,127.3979904,전라남도,104
CT1,35.74894916,128.7893455,경상북도,252
CT1,36.91989337,127.3669274,충청북도,312
CT1,36.23743388,128.1576478,경상북도,23
CT1,36.39095796,128.4265351,경상북도,979
CT1,35.03999223,127.3761098,전라남도,104
CT1,36.25688599,128.5683488,경상북도,619
CT1,35.02253422,127.8517234,경상남도,626
CT1,35.4967425,127.8406062,경상남도,212
CT1,35.36727873,126.5361213,전라북도,155
CT1,36.60613192,128.211486,경상북도,675
CT1,35.37434387,128.2717497,경상남도,80
CT1,35.46405889,129.1955129,울산광역시,66
CT1,35.08793963,128.3257743,경상남도,860
CT1,35.73333847,127.2654704,전라북도,351
CT1,35.39196734,126.8859376,전라남도,685
CT1,36.0173404,128.8962885,경상북도,641
CT1,35.64006754,128.3109335,경상남도,845
CT1,36.01690866,128.146665,경상북도,681
CT1,34.85404689,127.8905982,경상남도,281
CT1,35.42005483,128.0241235,경상남도,982
CT1,35.36591593,127.0957278,전라북도,573
CT1,36.32106903,128.7044573,경상북도,880
CT1,34.56009851,126.3902988,전라남도,825
CT1,37.31408416,127.9873423,강원도,884
CT1,35.30640371,128.906667,경상남도,286
CT1,34.91702838,128.0170898,경상남도,335
CT1,35.70346221,128.1661621,경상남도,841
CT1,36.50047211,127.6996494,충청북도,992
CT1,37.86526911,127.2230385,경기도,20
CT1,35.57014868,129.1593169,울산광역시,190
CT1,36.43954646,129.3551691,경상북도,53
CT1,36.09618691,128.0926862,경상북도,681
CT1,35.34072128,127.1188007,전라북도,707
CT1,35.62956169,129.4291886,울산광역시,792
CT1,35.55072809,128.031555,경상남도,401
CT1,37.35650028,127.0012409,경기도,800
CT1,34.86865567,127.868782,경상남도,461
CT1,35.67689646,127.6924399,경상남도,11
CT1,36.34034324,129.3093353,경상북도,166
CT1,35.18262678,127.0425682,전라남도,694
CT1,37.2060495,127.0065407,경기도,514
CT1,36.28350066,127.0228849,충청남도,331
CT1,36.20727156,128.8911611,경상북도,785
CT1,35.06779624,128.2974822,경상남도,724
CT1,36.12916468,129.2484466,경상북도,265
CT1,35.04997357,128.0024684,경상남도,946
CT1,35.47647473,128.0154918,경상남도,982
CT1,36.01749314,129.1992919,경상북도,282
CT1,36.69241016,129.4305526,경상북도,111
CT1,36.10430228,128.4516479,경상북도,187
CT1,35.46622067,128.4978976,경상남도,203
CT1,34.74517934,126.7107501,전라남도,618
CT1,36.52424309,127.4135742,충청북도,814
CT1,35.52194937,127.7488797,경상남도,450
CT1,35.70672911,127.8889444,경상남도,133
CT1,35.2928701,126.9000407,전라남도,378
CT1,34.81245017,127.9760606,경상남도,804
CT1,36.15933152,129.2539231,경상북도,265
CT1,34.87734294,128.577262,경상남도,37
CT1,35.68197844,128.7503941,경상북도,48
CT1,35.59069634,128.3947631,경상남도,509
CT1,36.98996236,127.8317279,충청북도,438
CT1,35.81618133,128.1928024,경상북도,151
CT1,36.0178379,128.9184673,경상북도,641
CT1,35.40013766,128.3825106,경상남도,26
CT1,34.90793622,128.0020463,경상남도,335
CT1,36.00950543,129.1785015,경상북도,282
CT1,35.40901486,129.1491955,경상남도,60
CT1,36.22252482,128.896584,경상북도,785
CT1,36.74263969,127.5828031,충청북도,645
CT1,34.20130453,126.8851671,전라남도,727
CT1,35.46163918,128.8185955,경상남도,275
CT1,36.7867738,128.5721236,경상북도,526
CT1,35.53591704,127.750917,경상남도,235
CT1,35.2150425,127.8341104,경상남도,333
CT1,36.37356984,127.6839913,충청북도,51
CT1,35.03157312,128.3364451,경상남도,949
CT1,35.52813662,128.0875624,경상남도,401
CT1,36.36310484,128.749716,경상북도,880
CT1,35.09927927,128.1254769,경상남도,658
CT1,35.38306758,128.1569553,경상남도,222
CT1,35.25797788,127.4552024,전라남도,766
CT1,35.33720321,126.5575709,전라북도,537
CT1,37.24718811,126.7941757,경기도,425
CT1,36.56881279,128.9799554,경상북도,757
CT1,36.52234513,129.1871912,경상북도,391
CT1,34.67930518,126.8339646,전라남도,892
CT1,34.67930627,127.3825847,전라남도,850
CT1,33.49571154,126.963002,제주특별자치도,393
CT1,34.78650963,126.8969399,전라남도,848
CT1,35.412131,126.4824737,전라남도,464
CT1,35.37948411,126.521904,전라북도,155
CT1,35.36759189,126.505985,전라북도,155
CT1,34.81316186,126.9939774,전라남도,731
CT1,34.83724419,127.1566815,전라남도,47
CT1,34.81268369,127.2706326,전라남도,101
CT1,34.81304314,127.3624549,전라남도,809
CT1,35.19199374,127.2121348,전라남도,386
CT1,35.20500413,127.5105798,전라남도,916
CT1,34.14666711,126.6542209,전라남도,881
CT1,34.52275307,127.4435794,전라남도,238
CT1,34.5135665,126.2269401,전라남도,330
CT1,34.48418228,126.1800204,전라남도,220
CT1,34.57548221,126.4825372,전라남도,524
CT1,34.57180677,126.4684341,전라남도,524
CT1,34.56812626,126.5723834,전라남도,524
CT1,34.57177201,127.1539665,전라남도,545
CT1,34.59772343,126.5259834,전라남도,524
CT1,36.69515773,126.4714704,충청남도,294
CT1,36.66202528,128.2028486,경상북도,675
CT1,34.60551542,126.3310379,전라남도,498
CT1,34.59578511,126.0762466,전라남도,3
CT1,34.70985567,126.3251345,전라남도,699
CT1,34.69678674,126.6295149,전라남도,539
CT1,36.06955432,128.104355,경상북도,681
CT1,36.05904774,128.8155144,경상북도,833
CT1,36.02433157,128.8325312,경상북도,833
CT1,34.77470171,127.6462829,전라남도,788
CT1,34.75789759,127.3478836,전라남도,850
CT1,35.22570008,126.4533602,전라남도,396
CT1,34.74974127,126.7457351,전라남도,627
CT1,34.73546222,126.6360978,전라남도,539
CT1,34.84863689,126.6794769,전라남도,188
CT1,34.8950701,126.482497,전라남도,712
CT1,34.91818373,126.9495969,전라남도,345
CT1,34.9913245,127.8081435,경상남도,849
CT1,34.98132256,127.6243347,전라남도,629
CT1,35.02835847,126.4754211,전라남도,7
CT1,35.05225927,126.5029619,전라남도,191
CT1,35.02097596,127.0363474,전라남도,149
CT1,35.2639016,126.8590796,전라남도,378
CT1,35.1224806,127.311961,전라남도,468
CT1,35.12142781,127.3091171,전라남도,468
CT1,35.17285992,127.4578235,전라남도,916
CT1,35.15705431,127.8808226,경상남도,700
CT1,35.21995617,128.4399132,경상남도,988
CT1,35.24416367,127.0643723,전라남도,160
CT1,35.99360467,126.8572997,전라북도,951
CT1,35.30180079,126.5504482,전라남도,537
CT1,35.26859332,126.577515,전라남도,353
CT1,35.31104761,127.3562819,전라남도,254
CT1,35.48253028,127.3965589,전라북도,929
CT1,35.5398188,126.6871206,전라북도,321
CT1,35.53117423,127.0433546,전라북도,532
CT1,35.58957592,126.8593562,전라북도,474
CT1,35.59185777,126.6452035,전라북도,123
CT1,35.63693098,126.7759634,전라북도,917
CT1,35.78723393,128.4527962,대구광역시,71
CT1,35.76074234,128.477784,대구광역시,71
CT1,35.76367944,128.6614172,대구광역시,211
CT1,35.82672673,128.7048928,대구광역시,129
CT1,35.80336106,127.4588457,전라북도,256
CT1,35.83719754,126.9936618,전라북도,127
CT1,35.79032797,126.9847422,전라북도,846
CT1,35.82279188,126.9374879,전라북도,210
CT1,35.84430391,127.1954417,전라북도,231
CT1,35.86006633,127.1946505,전라북도,369
CT1,35.85945861,128.2524406,경상북도,151
CT1,35.88523062,128.7557974,대구광역시,910
CT1,36.00698398,129.0020648,경상북도,963
CT1,36.51759061,126.7469684,충청남도,197
CT1,34.9154495,127.1870023,전라남도,360
CT1,35.92276708,128.9416629,경상북도,419
CT1,35.54067959,127.7532575,경상남도,235
CT1,36.37050564,128.2500294,경상북도,942
CT1,36.32267268,126.8131312,충청남도,521
CT1,36.74574929,128.6561593,경상북도,976
CT1,36.00086976,127.9795055,경상북도,770
CT1,36.26519227,128.4310951,경상북도,186
CT1,36.79347168,127.1920277,충청남도,570
CT1,34.92932838,127.9045728,경상남도,310
CT1,35.33540841,127.9974132,경상남도,563
CT1,37.43866514,128.1650705,강원도,180
CT1,35.7892146,129.1811182,경상북도,655
CT1,37.19946621,126.9897771,경기도,514
CT1,36.11995926,127.5371066,충청남도,649
CT1,35.06450183,128.3371628,경상남도,860
CT1,35.24629464,128.4691078,경상남도,349
CT1,35.3499417,129.0142124,경상남도,565
CT1,35.08832464,128.344808,경상남도,860
CT1,35.50439011,129.1968393,울산광역시,818
CT1,35.31255592,128.1885857,경상남도,750
CT1,34.58125993,126.4563301,전라남도,825
CT1,35.56249812,127.4163301,전라북도,687
CT1,35.64747378,127.8229754,경상남도,801
CT1,35.23448026,128.1615131,경상남도,750
CT1,35.4783207,128.5166071,경상남도,203
CT1,34.44522439,126.6648024,전라남도,822
CT1,34.93382322,128.2926008,경상남도,319
CT1,35.00771531,128.2210836,경상남도,4
CT1,37.15743998,128.1602796,충청북도,932
CT1,35.95781112,128.4583916,경상북도,636
CT1,35.51336516,126.5536201,전라북도,488
CT1,36.84447028,127.7105887,충청북도,14
CT1,36.06997978,129.0493323,경상북도,989
CT1,35.45146841,128.2370657,경상남도,495
CT1,35.45359081,127.8009113,경상남도,262
CT1,34.88643802,128.5066192,경상남도,886
CT1,34.93689061,128.4229995,경상남도,124
CT1,34.8898804,127.9012361,경상남도,310
CT1,35.37613281,127.1652951,전라북도,707
CT1,35.49640558,129.2156438,울산광역시,818
CT1,35.08995439,127.9538295,경상남도,560
CT1,35.32615769,128.4719359,경상남도,534
CT1,34.95581357,126.3409127,전라남도,879
CT1,35.63447603,128.0697037,경상남도,280
CT1,35.82707286,128.3059377,경상북도,92
CT1,36.41947045,126.5607623,충청남도,249
CT1,35.25869667,128.5935671,경상남도,897
CT1,36.09788851,129.1895773,경상북도,660
CT1,36.44045377,127.0068029,충청남도,925
CT1,35.57640747,127.5002714,전라북도,283
CT1,36.23206058,128.8173887,경상북도,785
CT1,35.75052487,127.8111172,경상남도,206
CT1,34.53430619,126.4658242,전라남도,825
CT1,37.16855274,128.1261,충청북도,162
CT1,35.83326829,128.440197,경상북도,689
CT1,35.0777049,128.3030938,경상남도,724
CT1,36.0334975,128.9019422,경상북도,641
CT1,35.55904183,127.7519455,경상남도,235
CT1,35.42671138,129.1502964,경상남도,66
CT1,34.71595792,127.5628062,전라남도,99
CT1,35.73236569,129.1851778,경상북도,834
CT1,35.28975728,128.499819,경상남도,579
CT1,36.69124164,126.1741031,충청남도,909
CT1,35.31010639,127.1080998,전라북도,465
CT1,37.04812041,127.2934563,경기도,702
CT1,35.5711624,127.8059374,경상남도,235
CT1,35.86711896,129.0086007,경상북도,594
CT1,35.75238293,127.9498129,경상남도,692
CT1,36.28777686,128.4696605,경상북도,186
CT1,37.13172179,129.0707924,강원도,359
CT1,38.2378607,128.3430939,강원도,408
CT1,34.31488273,126.5188889,전라남도,739
CT1,34.91091422,127.4686794,전라남도,1000
CT1,37.7163819,126.3778608,인천광역시,15
CT1,36.15725604,127.2464901,충청남도,165
CT1,34.7744247,127.711402,전라남도,996
CT1,37.55511076,127.3014778,경기도,427
CT3,36.75038787,126.8597761,충청남도,540
CT3,36.16239052,127.7898476,충청북도,299
CT4,37.51693267,128.7281746,강원도,300
CT4,37.56174596,126.9829855,서울특별시,144
CT4,37.68561373,128.7589626,강원도,930
CT4,35.43015521,128.9072529,경상남도,275
CT4,35.02190141,128.2910192,경상남도,949
CT4,37.00241714,128.342716,충청북도,253
CT4,33.34780209,126.2559044,제주특별자치도,536
CT4,36.68155694,126.2670125,충청남도,909
CT4,37.75822589,128.8468856,강원도,651
CT4,37.57152819,127.0348355,서울특별시,817
CT4,35.79069082,129.3494409,경상북도,902
CT4,38.15336524,128.6120532,강원도,433
CT4,35.81092704,128.4778207,대구광역시,71
CT4,36.43299061,129.0529759,경상북도,998
CT4,36.77846061,127.8862995,충청북도,43
CT4,38.09647551,127.6995742,강원도,434
CT4,36.58708923,126.2973428,충청남도,962
CT4,37.62098259,127.0069279,서울특별시,233
CT4,35.96764399,128.924322,경상북도,711
CT4,37.71236667,128.7970676,강원도,755
CT4,37.67554147,128.6994628,강원도,930
CT4,37.25820788,127.1924073,경기도,224
CT4,37.54529348,127.1043951,서울특별시,749
CT4,36.64359516,127.4726382,충청북도,40
CT4,34.88612714,127.3961997,전라남도,809
CT4,37.65872789,127.0515629,서울특별시,136
CT4,35.04951229,128.960946,부산광역시,94
CT4,37.60809838,126.716106,경기도,986
CT4,37.29613558,127.0254433,경기도,350
CT4,37.51982173,127.4564847,경기도,831
CT4,36.27417976,126.8738306,충청남도,743
CT4,37.0161523,128.13384,충청북도,697
CT4,36.55000809,126.9563064,충청남도,76
CT4,36.45585387,129.0329704,경상북도,998
CT4,36.61184671,127.6848091,충청북도,368
CT1,34.74118028,126.4852752,전라남도,853
CT1,36.88505171,127.5228402,충청북도,399
CT1,37.35584341,127.7105886,경기도,481
